Shipping_Weight,Weight_Classification,ID_Product,ID_Shape,ID_Weight
0.3733333333333334,Kecil,1e9e8ef04dbcff4541ed26657ea517e5,1,1
1.8,Kecil,3aa071139cb16b67ca9e5dea641aaa2f,2,2
0.405,Kecil,96bd76ec8810374ed1b65e291975717f,3,3
0.4506666666666667,Kecil,cef67bcfe19066a932b7673e239eb23d,4,4
0.7366666666666667,Kecil,9dc1a7de274444849c219cff195d0b71,5,5
0.3483333333333333,Kecil,41d3672d4792049fa1779bb35283ed13,6,6
18.35,Besar,732bd381ad09e530fe0a5f457d81becb,7,7
2.133333333333333,Kecil,2548af3e6e77a690cf3eb6368e9ab61e,8,8
0.9945,Kecil,37cc742be07708b53a98702e77a21a02,9,9
0.6,Kecil,8c92109888e8cdf9d66dc7e463025574,10,10
1.1,Kecil,14aa47b7fe5c25522b47b4b29c98dcb9,11,11
7.15,Sedang,03b63c5fc16691530586ae020c345514,12,12
0.3371666666666667,Kecil,cf55509ea8edaaac1d28fdb16e48fc22,13,13
1.620666666666667,Kecil,7bb6f29c2be57716194f96496660c7c2,14,10
0.3371666666666667,Kecil,eb31436580a610f202c859463d8c7415,13,6
0.8,Kecil,3bb7f144022e6732727d8d838a7b13b3,15,14
0.45,Kecil,6a2fb4dd53d2cdb88e0432f1284a004c,16,9
2.0,Kecil,a1b71017a84f92fd8da4aeefba108a24,17,8
1.75,Kecil,a0736b92e52f6cead290e30b578413b6,18,15
0.5,Kecil,f53103a77d9cf245e579ea37e5ec51f0,11,16
5.22,Kecil,1c1890ba1779090cd54008a3c3302921,19,17
0.8,Kecil,518ef5de2c2b3a255e326a4594ba15d9,20,14
0.3185,Kecil,e3e020af31d4d89d2602272b315c3f6e,21,18
0.5633333333333334,Kecil,8b41fbc2b984a12030090112324d1bc4,22,16
2.0,Kecil,d03bd02af9fff4b98f1c972315e5e9ef,23,19
2.083333333333333,Kecil,8ba4f2a4ae695d26e5626c1bf710975e,24,8
7.291666666666667,Sedang,f6574524b07d5bb753bab6f35abe2d06,25,20
0.42,Kecil,c78b767da00efb70c1bcccab87c28cd5,26,21
0.74,Kecil,a0253d43394dd4da9a5d7b1f546f1a32,27,22
5.466333333333333,Kecil,051b9ff13dd55c0a6655a15ff296f80d,28,20
0.65,Kecil,47859fca9dd7485cbd93c3e8993bb74f,11,23
3.173333333333333,Kecil,e1d1d22e9f8122a4ec1533b032c12562,29,24
2.266666666666667,Kecil,20e37962088a4061d3578def47a8648b,30,14
8.95,Sedang,1eba879220bd0981a0e2fbab499ed4e1,31,25
1.581,Kecil,ce5b91848b91118daffb3af53b747475,32,26
7.95,Sedang,5370b82a213393979691c98074265584,33,27
6.0,Kecil,b8dac5113b06a97e64943234522572b9,34,28
0.576,Kecil,750cf819d127191920eda79a4b6fb479,35,29
3.9,Kecil,e6af694343b45b56304ad91974a110b9,36,30
2.604166666666667,Kecil,680874c570dad71c0a2844cfbf417054,37,10
4.352833333333334,Kecil,8b3a9476f74f5297f7ff0ec6d95fe1ea,38,31
0.935,Kecil,1c6fb703c624b381a20f21f757694866,39,32
6.35,Sedang,db46052aed7dff59ba38cf2fe29b87f9,40,33
1.411666666666667,Kecil,b864b103180d5a6a3f830e67f93e8735,41,10
11.75,Sedang,7a8dac4aaa16bc642e4df33adcf03303,42,34
4.458666666666667,Kecil,83b9bc6aae6f527ff6aafb9e01d6cbf3,43,17
15.35,Besar,5f504b3a1c75b73d6151be81eb05bdc9,44,35
1.666666666666667,Kecil,bbf920aa6ac72007a726e6f419156f8f,45,36
1.3915,Kecil,c3b7e4d83e530c27a8e6368296aece48,46,37
1.507333333333333,Kecil,c5d8079278e912d7e3b6beb48ecb56e8,47,36
4.8,Kecil,5eaa343860dc445b3fd43d1b682809fd,48,38
2.304,Kecil,b5cfb1d3c5e435a7a52227e08f220ee7,49,36
0.714,Kecil,334479e94cba98064050db1c9636e244,50,39
5.7,Sedang,3fcd8dfe610c62edfb51de2630cd9ef4,51,40
4.0,Kecil,4c8056caed5757810b9a68b83c3759e6,52,41
2.368,Kecil,30e77af9e7759bbaa0305d2fbc605dc4,53,42
0.1045,Kecil,92bf5d2084dfbcb57d9db7838bac5cd0,54,43
2.3,Kecil,fdeb34a9f03fea7c3937dd62d1d0287e,55,11
9.88,Sedang,1065dbb6b0bf03daaedab1236979e296,56,44
0.56,Kecil,0d826eba8e0a2ae3bca9e3a947dd756d,57,13
1.166666666666667,Kecil,f8f6fd145cc00519283cf3100477b2b3,58,45
0.5,Kecil,4e04ffb7dd3739ecfc37de8927dd586c,59,16
1.467,Kecil,36555a2f528d7b2a255c504191445d39,60,46
0.1466666666666667,Kecil,22937a73f92a33040ab4e2540355a5d8,61,43
0.2133333333333333,Kecil,dc21247da0290904ffbbcd5953c76f95,62,43
0.4025,Kecil,9020ce7adcc384b2899ae87ddc54767b,63,21
2.25,Kecil,bfc1d1c62b1f7f401d8d9dda962bb870,64,47
0.25,Kecil,6fef6d87bb6c2eb11d57a967209219a8,65,13
12.0,Sedang,1e5428c428e0f783acd6e3d94ba4ee2a,66,48
0.921,Kecil,94080f9219044d897195e2be145945dc,67,49
10.0,Sedang,d0389f20b3d11de54e1e4561df147683,68,50
0.3226666666666667,Kecil,3e9b58f1436820c248d3f98d7229bb14,69,13
2.933333333333333,Kecil,575c38b4c88fc7b35ef22fc8312bfe1b,70,51
4.8,Kecil,556702ebb73d3786a852ad3d5a8ad268,71,38
2.666666666666667,Kecil,a3a03c131926ec14d4c9f3ef03016b24,72,52
1.701,Kecil,e586ebb6022265ae1eea38f46ffe3ead,73,45
1.333333333333333,Kecil,278b3c6462e86b4556b99989513ddf73,74,53
