Shipping_Cost,ID_Product,ID_Shape
10000,1e9e8ef04dbcff4541ed26657ea517e5,1
10000,3aa071139cb16b67ca9e5dea641aaa2f,2
10000,96bd76ec8810374ed1b65e291975717f,3
10000,cef67bcfe19066a932b7673e239eb23d,4
10000,9dc1a7de274444849c219cff195d0b71,5
10000,41d3672d4792049fa1779bb35283ed13,6
20000,732bd381ad09e530fe0a5f457d81becb,7
10000,2548af3e6e77a690cf3eb6368e9ab61e,8
10000,37cc742be07708b53a98702e77a21a02,9
10000,8c92109888e8cdf9d66dc7e463025574,10
10000,14aa47b7fe5c25522b47b4b29c98dcb9,11
20000,03b63c5fc16691530586ae020c345514,12
10000,cf55509ea8edaaac1d28fdb16e48fc22,13
10000,7bb6f29c2be57716194f96496660c7c2,14
10000,eb31436580a610f202c859463d8c7415,13
10000,3bb7f144022e6732727d8d838a7b13b3,15
10000,6a2fb4dd53d2cdb88e0432f1284a004c,16
10000,a1b71017a84f92fd8da4aeefba108a24,17
10000,a0736b92e52f6cead290e30b578413b6,18
10000,f53103a77d9cf245e579ea37e5ec51f0,11
20000,1c1890ba1779090cd54008a3c3302921,19
10000,518ef5de2c2b3a255e326a4594ba15d9,20
10000,e3e020af31d4d89d2602272b315c3f6e,21
10000,8b41fbc2b984a12030090112324d1bc4,22
10000,d03bd02af9fff4b98f1c972315e5e9ef,23
10000,8ba4f2a4ae695d26e5626c1bf710975e,24
20000,f6574524b07d5bb753bab6f35abe2d06,25
10000,c78b767da00efb70c1bcccab87c28cd5,26
10000,a0253d43394dd4da9a5d7b1f546f1a32,27
20000,051b9ff13dd55c0a6655a15ff296f80d,28
10000,47859fca9dd7485cbd93c3e8993bb74f,11
10000,e1d1d22e9f8122a4ec1533b032c12562,29
10000,20e37962088a4061d3578def47a8648b,30
20000,1eba879220bd0981a0e2fbab499ed4e1,31
10000,ce5b91848b91118daffb3af53b747475,32
20000,5370b82a213393979691c98074265584,33
10000,b8dac5113b06a97e64943234522572b9,34
10000,750cf819d127191920eda79a4b6fb479,35
10000,e6af694343b45b56304ad91974a110b9,36
10000,680874c570dad71c0a2844cfbf417054,37
10000,8b3a9476f74f5297f7ff0ec6d95fe1ea,38
10000,1c6fb703c624b381a20f21f757694866,39
10000,db46052aed7dff59ba38cf2fe29b87f9,40
10000,b864b103180d5a6a3f830e67f93e8735,41
20000,7a8dac4aaa16bc642e4df33adcf03303,42
10000,83b9bc6aae6f527ff6aafb9e01d6cbf3,43
20000,5f504b3a1c75b73d6151be81eb05bdc9,44
10000,bbf920aa6ac72007a726e6f419156f8f,45
10000,c3b7e4d83e530c27a8e6368296aece48,46
10000,c5d8079278e912d7e3b6beb48ecb56e8,47
10000,5eaa343860dc445b3fd43d1b682809fd,48
10000,b5cfb1d3c5e435a7a52227e08f220ee7,49
10000,334479e94cba98064050db1c9636e244,50
20000,3fcd8dfe610c62edfb51de2630cd9ef4,51
10000,4c8056caed5757810b9a68b83c3759e6,52
10000,30e77af9e7759bbaa0305d2fbc605dc4,53
10000,92bf5d2084dfbcb57d9db7838bac5cd0,54
10000,fdeb34a9f03fea7c3937dd62d1d0287e,55
20000,1065dbb6b0bf03daaedab1236979e296,56
10000,0d826eba8e0a2ae3bca9e3a947dd756d,57
10000,f8f6fd145cc00519283cf3100477b2b3,58
10000,4e04ffb7dd3739ecfc37de8927dd586c,59
10000,36555a2f528d7b2a255c504191445d39,60
10000,22937a73f92a33040ab4e2540355a5d8,61
10000,dc21247da0290904ffbbcd5953c76f95,62
10000,9020ce7adcc384b2899ae87ddc54767b,63
10000,bfc1d1c62b1f7f401d8d9dda962bb870,64
10000,6fef6d87bb6c2eb11d57a967209219a8,65
20000,1e5428c428e0f783acd6e3d94ba4ee2a,66
10000,94080f9219044d897195e2be145945dc,67
20000,d0389f20b3d11de54e1e4561df147683,68
10000,3e9b58f1436820c248d3f98d7229bb14,69
10000,575c38b4c88fc7b35ef22fc8312bfe1b,70
10000,556702ebb73d3786a852ad3d5a8ad268,71
10000,a3a03c131926ec14d4c9f3ef03016b24,72
10000,e586ebb6022265ae1eea38f46ffe3ead,73
10000,278b3c6462e86b4556b99989513ddf73,74
10000,0d009643171aee696f4733340bc2fdd0,75
10000,be1be330cf34043d1c40d6114cbd11b5,76
40000,07f01b6fcacc1b187a71e5074199db2d,77
10000,75b4372e69a42f8ae1d908c076f547b2,78
10000,3569d4374a919941a50f57371b1dc93d,79
10000,a3c95dc653d9a279b160bc0179385ed1,80
10000,0992c6cba95a13bfa68ea7d5e22d478b,81
10000,b1eae565a61935e0011ee7682fef9dc9,82
20000,2734390ee304b0f4817b3c233094fc16,83
10000,32ee3f4e2493045726807808d7abbab6,84
10000,c2367eda4f9623d0355dc5d7796d857a,85
10000,7f34b85142d1ef9e077a0da9ada27385,86
10000,c478b1bbf9ec8c5691f37ccb83187386,87
10000,f9ecf420c38b90a8af8e7f70fd789264,88
